epsilon,simulation,time_step,clustering,path_length,omega,s1,s2,<s>,<s>_std,n_s,N
0.1,1,0,0.03143921873333635,2.8872909698996656,1.1357611409991537,65,42,33.333333333333336,13.333333333333334,9,300
0.1,1,1000,0.027351564041966495,2.882408026755853,0.8763929782220606,37,33,27.272727272727273,4.863423954580093,11,300
0.1,1,2000,0.025453778792014055,2.879866220735786,0.9074896904275267,46,41,27.272727272727273,10.322886392432805,11,300
0.1,1,3000,0.03227762052762053,2.88463768115942,1.0649390212301924,52,44,27.272727272727273,11.693750538338525,11,300
0.1,1,4000,0.02742284226494749,2.871928651059086,0.9461452919568935,38,37,27.272727272727273,7.3123918371600745,11,300
0.1,1,5000,0.03155872553086173,2.8805128205128203,0.9243850726027817,45,36,30.0,7.416198487095663,10,300
0.1,1,6000,0.029082103082103045,2.885418060200669,1.0446412001832908,41,39,25.0,8.94427190999916,12,300
0.1,1,7000,0.025234232508479972,2.8713384660276984,0.7425296010386984,59,53,37.375,12.58905774869589,8,299
0.1,1,8000,0.031963735982032254,2.8726627909586764,0.9446116167356802,41,39,29.9,9.771898484941397,10,299
0.1,1,9000,0.032879125113300954,2.8702161567641578,1.1437294316580875,47,43,33.22222222222222,8.283555030940356,9,299
0.1,1,10000,0.029389603445279217,2.8737177616664047,0.852061468158221,48,39,33.22222222222222,7.799968344348553,9,299
0.1,1,11000,0.028569481210637987,2.877870305941505,1.1304035733571862,54,43,33.22222222222222,10.336319759606875,9,299
0.1,1,12000,0.03845401161454673,2.8819330654755224,1.2460394909009163,64,39,33.22222222222222,12.299754087675247,9,299
0.1,1,13000,0.027941986096619145,2.8755583488586116,0.9786220042920108,45,44,33.22222222222222,8.65098295992077,9,299
0.1,1,14000,0.0351272500642951,2.8744809319656124,1.165162012345325,44,43,33.22222222222222,7.450246495217871,9,299
0.1,1,15000,0.02749164349105325,2.8649637494107876,1.0559063131627553,41,41,29.9,8.239538822045807,10,299
0.1,1,16000,0.022675848644764615,2.8719669592152814,0.7300750314495357,54,45,29.9,11.869709347747316,10,299
0.1,1,17000,0.02550579298070935,2.8813270184732103,1.075440898580444,40,34,27.181818181818183,6.9781240226892685,11,299
0.1,1,18000,0.02884977177717683,2.877062243271756,0.8782805970915248,40,40,29.9,10.014489502715552,10,299
0.1,1,19000,0.028076030249943262,2.8654126731162037,0.9295153105792187,50,48,33.22222222222222,11.65978633097325,9,299
0.1,1,20000,0.026066813593864507,2.8670512446409733,0.9096291115301581,43,43,29.9,12.501599897613106,10,299
0.1,1,21000,0.03158721183509693,2.8855244551188526,1.246280330224649,45,40,27.181818181818183,10.555637716561979,11,299
0.1,1,22000,0.02998594351633892,2.8779600906825884,0.9300436149506398,35,33,23.0,6.551570569190026,13,299
0.1,1,23000,0.029244202690002375,2.879486431281004,0.8958251041435207,44,41,29.9,9.575489543621256,10,299
0.1,1,24000,0.03443374788726163,2.8749971942268413,1.0373270153730523,45,43,29.9,10.133607452432722,10,299
0.1,1,25000,0.02956940872897609,2.872212053420107,1.1729789239240367,43,41,29.8,7.6000000000000005,10,298
0.1,1,26000,0.03247249635919194,2.8635798702912796,1.1244619212354703,38,32,24.833333333333332,6.053006599111626,12,298
0.1,1,27000,0.030534631289664806,2.8591959867127654,1.0861548624219068,42,39,33.111111111111114,6.657400968420108,9,298
0.1,1,28000,0.02533613686396944,2.873183738955551,0.9555445030613432,45,45,27.09090909090909,10.748822730078146,11,298
0.1,1,29000,0.029565652468336995,2.8598739068537724,1.0110373600227507,42,37,27.09090909090909,8.027844106093212,11,298
0.1,1,30000,0.031627581963152414,2.862879352812239,1.1774283956040208,37,37,27.09090909090909,8.979315072629634,11,298
0.1,1,31000,0.03222078071071358,2.8704268637154544,1.0731833137831317,40,40,33.111111111111114,4.724509250104289,9,298
0.1,1,32000,0.03354315169850105,2.8669920683343504,0.9969565738451316,43,28,24.833333333333332,7.4591480002000825,12,298
0.1,1,33000,0.027260514740775257,2.869974916954783,0.9869705535117204,50,47,33.111111111111114,10.999438818457406,9,298
0.1,1,34000,0.02395561132730495,2.8674214177569883,0.8747274989520344,52,45,37.25,8.481597726843686,8,298
0.1,1,35000,0.03173243061715227,2.8639866223758843,1.2563083899290486,43,34,29.8,6.063002556489648,10,298
0.1,1,36000,0.032200555399331525,2.8634894809391453,0.9541421689876995,51,51,33.111111111111114,10.857096444716541,9,298
0.1,1,37000,0.03192360563067235,2.8650938919395297,1.1220705561817805,48,39,33.111111111111114,7.709221670534069,9,298
0.1,1,38000,0.029143579257080988,2.8646193478408244,0.9604004038126254,46,41,27.09090909090909,12.011014229028179,11,298
0.1,1,39000,0.032126660131989754,2.8779517772806362,1.096879619789324,50,47,29.8,11.364858116140297,10,298
0.1,1,40000,0.029885096589597166,2.8711499785325287,0.9631235556419661,40,40,27.09090909090909,9.690243879608037,11,298
0.1,1,41000,0.028401205760068746,2.864144803742119,0.9335992368652906,44,42,29.8,8.4,10,298
0.1,1,42000,0.024317606769245128,2.873906853772626,0.8140721384433429,46,38,27.09090909090909,9.25845604107201,11,298
0.1,1,43000,0.02308794859130427,2.8653650599959324,0.8986033892432517,59,43,33.111111111111114,13.059219344070426,9,298
0.1,1,44000,0.024641619811171175,2.863828441009649,0.7294874320368291,60,47,33.111111111111114,13.328702899669358,9,298
0.1,1,45000,0.032981947648351086,2.869635956884279,1.0765285404036509,42,40,29.8,6.257795138864806,10,298
0.1,1,46000,0.028343449987745253,2.8731159469414504,1.0338388950610442,44,41,33.111111111111114,7.109374788020618,9,298
0.1,1,47000,0.027037008699069474,2.867172847038619,0.9602865661152172,40,35,27.09090909090909,6.021998240610616,11,298
0.1,1,48000,0.030648227830422828,2.864687139854925,0.8586403722368765,49,33,24.833333333333332,8.84904263497219,12,298
0.1,1,49000,0.0316501287237568,2.868234921926197,1.163534015273763,47,44,29.8,10.077698149875298,10,298
0.1,1,50000,0.03311068619497359,2.875669446139245,1.050975625875277,48,40,29.8,9.4,10,298
0.1,1,51000,0.028024934884390028,2.8604614376426456,1.029310134543404,51,39,29.8,10.027960909377338,10,298
0.1,1,52000,0.031246777743027226,2.864890515897227,0.9436363381549914,52,45,33.111111111111114,11.33768979451031,9,298
0.1,1,53000,0.02986868834132323,2.860009490881974,1.097569447874622,36,36,24.833333333333332,6.555320146432378,12,298
0.1,1,54000,0.03733263545245385,2.8639188303617833,1.4351081387118727,44,39,29.8,8.482924024179399,10,298
0.1,1,55000,0.02594154923902256,2.868393103292432,1.0125972467485604,37,37,24.833333333333332,9.016959329815986,12,298
0.1,1,56000,0.03026917154433932,2.8727091948568457,0.9643555568612643,56,32,24.833333333333332,11.45886362409273,12,298
0.1,1,57000,0.03640128514289584,2.877861387928502,1.0748949980037352,46,44,29.8,12.959938271457933,10,298
0.1,1,58000,0.029452380207413725,2.872438026800443,0.989538999397786,43,36,27.09090909090909,8.543520090524167,11,298
0.1,1,59000,0.028285219846609484,2.8610037737554515,0.8134491788002107,39,36,27.09090909090909,8.908163217006436,11,298
0.1,1,60000,0.027200465455498975,2.8700201116308497,0.9096188234822397,47,43,27.09090909090909,10.38753225969869,11,298
0.1,1,61000,0.03562388887596151,2.866246356179242,1.1138944457349007,32,31,24.833333333333332,4.86198404860494,12,298
0.1,1,62000,0.03352368676195175,2.8633861133861136,1.1559146272484695,48,46,29.7,9.737042672187485,10,297
0.1,1,63000,0.03153093687853043,2.868300118300118,1.0409409908986709,44,44,27.0,10.126472956832233,11,297
0.1,1,64000,0.02262289601861792,2.856834106834107,1.0104409148036697,50,50,29.7,12.938701635017324,10,297
0.1,1,65000,0.03436320232220406,2.8717353717353715,1.1272192168703357,45,44,29.7,10.354226190305097,10,297
0.1,1,66000,0.033183855272387625,2.8711666211666214,0.862675114311782,43,34,29.7,5.967411499134277,10,297
0.1,1,67000,0.024587057712429045,2.8641823641823643,0.7367033330580033,44,34,27.0,7.1477905041284675,11,297
0.1,1,68000,0.02868195216680063,2.8646601146601145,0.9830239411414979,50,37,27.0,9.760774931977853,11,297
0.1,1,69000,0.02760919801360975,2.859917544663307,0.8973269350561631,42,39,29.6,9.308061022576078,10,296
0.1,1,70000,0.027260093620387702,2.8562986715529086,0.9494908675815066,50,45,29.6,12.93986089569745,10,296
0.1,1,71000,0.026697008498479044,2.8665597801191023,0.896732452433991,50,41,26.90909090909091,11.397404373201866,11,296
0.1,1,72000,0.03328267832754371,2.8534301856335755,1.1420077950423153,40,36,24.583333333333332,8.410889106126389,12,295
0.1,1,73000,0.029681147972851776,2.850363196125908,0.9277255940425677,51,44,32.77777777777778,10.622594135748551,9,295
0.1,1,74000,0.027945287718576513,2.849971174910642,0.8119441682779017,42,38,29.5,7.446475676452586,10,295
0.1,1,75000,0.03173286722140159,2.8582497405741956,1.038391557739625,46,46,36.875,8.02242949486002,8,295
0.1,1,76000,0.03203653109934264,2.8501787155540184,0.9951064565222092,53,45,29.5,12.555875118843767,10,295
0.1,1,77000,0.026246691161945373,2.852231061916292,1.0518264478673383,42,40,29.5,9.922197337283713,10,295
0.1,1,78000,0.03345639128789675,2.8579730197163613,1.2913143783235665,52,36,29.5,9.625487000666512,10,295
0.1,1,79000,0.03352555166114487,2.8527153234175024,1.1363431729851634,60,46,32.77777777777778,12.890804455353933,9,295
